Обозначение	Тип	Наименование	Ревизия	Описание
ASDB.04.04.355.10.80	AS2_AssZhgut	ASDB.04.04.355.10.80	A	Жгут МС21-916301-M001
ASDB.04.04.361.00.80	AS2_AssZhgut	ASDB.04.04.361.00.80	A	Жгут MC21-917201-T001
ASDB.04.04.362.00.80	AS2_AssZhgut	ASDB.04.04.362.00.80	A	Жгут MC21-917202-TL002
ASDB.04.04.363.00.80	AS2_AssZhgut	ASDB.04.04.363.00.80	A	Жгут MC21-917203-TR003
ASDB.04.04.364.00.80	AS2_AssZhgut	ASDB.04.04.364.00.80	A	Жгут МС21-918101-U001
ASDB.04.04.365.00.80	AS2_AssZhgut	ASDB.04.04.365.00.80	A	Жгут МС21-918102-U002
ASDB.04.04.366.00.80	AS2_AssZhgut	ASDB.04.04.366.00.80	A	Жгут МС21-918103-U003
ASDB.04.04.384.00.80	AS2_AssZhgut	ASDB.04.04.384.00.80	A	Жгут MC21-918201-V001
ASDB.04.04.385.00.80	AS2_AssZhgut	ASDB.04.04.385.00.80	A	Жгут MC21-918202-V002
ASDB.04.04.386.00.80	AS2_AssZhgut	ASDB.04.04.386.00.80	A	Жгут MC21-918203-V003
ASDB.04.04.401.00.80	AS2_AssZhgut	ASDB.04.04.401.00.80	A	Жгут MC21-916101-FU001
ASDB.04.04.402.00.80	AS2_AssZhgut	ASDB.04.04.402.00.80	A	Жгут MC21-916102-FU002
ASDB.04.04.403.00.80	AS2_AssZhgut	ASDB.04.04.403.00.80	A	Жгут MC21-916103-FU003
ASDB.04.04.404.00.80	AS2_AssZhgut	ASDB.04.04.404.00.80	A	Жгут MC21-916104-FU004
ASDB.04.04.405.00.80	AS2_AssZhgut	ASDB.04.04.405.00.80	A	Жгут MC21-916105-FU005
ASDB.04.04.406.00.80	AS2_AssZhgut	ASDB.04.04.406.00.80	A	Жгут MC21-916106-FU006
ASDB.04.04.407.00.80	AS2_AssZhgut	ASDB.04.04.407.00.80	A	Жгут MC21-916107-FU007
ASDB.04.04.408.00.80	AS2_AssZhgut	ASDB.04.04.408.00.80	A	Жгут MC21-916108-FU008
ASDB.04.04.409.00.80	AS2_AssZhgut	ASDB.04.04.409.00.80	A	Жгут MC21-916109-FU009
ASDB.04.04.410.00.80	AS2_AssZhgut	ASDB.04.04.410.00.80	A	Жгут MC21-916110-FU010
ASDB.04.04.411.00.80	AS2_AssZhgut	ASDB.04.04.411.00.80	A	Жгут MC21-916111-FD011
ASDB.04.04.412.00.80	AS2_AssZhgut	ASDB.04.04.412.00.80	A	Жгут MC21-916112-FD012
ASDB.04.04.413.00.80	AS2_AssZhgut	ASDB.04.04.413.00.80	A	Жгут MC21-916113-FD013
ASDB.04.04.414.00.80	AS2_AssZhgut	ASDB.04.04.414.00.80	A	Жгут MC21-916114-FD014
ASDB.04.04.415.00.80	AS2_AssZhgut	ASDB.04.04.415.00.80	A	Жгут MC21-916115-FD015
ASDB.04.04.416.00.80	AS2_AssZhgut	ASDB.04.04.416.00.80	A	Жгут MC21-916116-FD016
ASDB.04.04.417.00.80	AS2_AssZhgut	ASDB.04.04.417.00.80	A	Жгут MC21-916117-FD017
ASDB.04.04.418.00.80	AS2_AssZhgut	ASDB.04.04.418.00.80	A	Жгут MC21-911201-A101
ASDB.04.04.451.00.80	AS2_AssZhgut	ASDB.04.04.451.00.80	A	Жгут MC21-916201-GU001
ASDB.04.04.452.00.80	AS2_AssZhgut	ASDB.04.04.452.00.80	A	Жгут MC21-916202-GU002
ASDB.04.04.453.00.80	AS2_AssZhgut	ASDB.04.04.453.00.80	A	Жгут MC21-916203-GU003
ASDB.04.04.454.00.80	AS2_AssZhgut	ASDB.04.04.454.00.80	A	Жгут MC21-916204-GU004
ASDB.04.04.455.00.80	AS2_AssZhgut	ASDB.04.04.455.00.80	A	Жгут MC21-916205-GU005
ASDB.04.04.456.00.80	AS2_AssZhgut	ASDB.04.04.456.00.80	A	Жгут MC21-916206-GU006
ASDB.04.04.457.00.80	AS2_AssZhgut	ASDB.04.04.457.00.80	A	Жгут MC21-916207-GU007
ASDB.04.04.458.00.80	AS2_AssZhgut	ASDB.04.04.458.00.80	A	Жгут MC21-916208-GU008
ASDB.04.04.459.00.80	AS2_AssZhgut	ASDB.04.04.459.00.80	A	Жгут MC21-916209-GU009
ASDB.04.04.460.00.80	AS2_AssZhgut	ASDB.04.04.460.00.80	A	Жгут MC21-916210-GU010
ASDB.04.04.461.00.80	AS2_AssZhgut	ASDB.04.04.461.00.80	A	Жгут MC21-916211-GD011
ASDB.04.04.462.00.80	AS2_AssZhgut	ASDB.04.04.462.00.80	A	Жгут MC21-916212-GD012
ASDB.04.04.463.00.80	AS2_AssZhgut	ASDB.04.04.463.00.80	A	Жгут MC21-916213-GD013	
ASDB.04.04.464.00.80	AS2_AssZhgut	ASDB.04.04.464.00.80	A	Жгут MC21-916214-GD014	
